City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,vila do maio,15.1333,-23.2167,27.44,85,62,3.87,CV,1692049962
289,camacupa,-12.0167,17.4833,17.39,25,0,1.27,AO,1692049963
290,khodzha-maston,38.7446,68.627,12.68,38,0,2.03,TJ,1692049963
291,salinopolis,-0.6136,-47.3561,26.69,83,66,5.87,BR,1692049733
292,la ronge,55.1001,-105.2842,24.14,57,75,5.66,CA,1692049963
293,kargasok,59.0556,80.8572,12.37,88,100,2.25,RU,1692049963
294,yangjiang,21.85,111.9667,26.91,87,100,1.53,CN,1692049963
295,lekeitio,43.3666,-2.5007,21.94,90,89,1.26,ES,1692049964
296,ibresi,55.2961,47.0394,15.77,92,0,2.24,RU,1692049964
297,vila velha,-20.3297,-40.2925,21.97,94,75,1.54,BR,1692049964
298,conduaga,8.862,117.4893,25.42,85,82,0.84,PH,1692049964
299,naracoorte,-36.9579,140.7383,3.44,88,0,2.09,AU,1692049964
300,amga,60.8953,131.9608,15.4,98,100,1.28,RU,1692049965
301,jiangzi,28.95,89.6333,8.06,71,100,2.45,CN,1692049965
302,taskopru,41.5098,34.2141,23.32,53,21,2.3,TR,1692049965
303,san luis de la loma,17.2706,-100.8939,29.55,79,100,2.66,MX,1692049965
304,westport,41.1415,-73.3579,29.6,68,0,2.06,US,1692049913
305,zhezqazghan,47.7833,67.7667,17.68,33,10,3.03,KZ,1692049798
306,axim,4.8699,-2.2405,24.01,88,99,4.12,GH,1692049966
307,saskatoon,52.1168,-106.6345,31.99,27,75,3.09,CA,1692049775
308,prado,-17.3411,-39.2208,21.97,79,100,3.12,BR,1692049966
309,puerto carreno,6.189,-67.4859,26.99,78,40,2.57,CO,1692049967
310,cannonvale,-20.2833,148.7,18.66,75,24,1.78,AU,1692049967
311,bad oldesloe,53.8117,10.3742,20.2,85,47,0.97,DE,1692049967
312,tadine,-21.55,167.8833,20.59,56,15,3.15,NC,1692049967
313,tabas,33.5959,56.9244,23.76,17,0,2.54,IR,1692049967
314,bad kreuznach,49.8333,7.8667,22.54,85,24,1.0,DE,1692049968
315,las tablas,7.7667,-80.2833,27.32,99,100,1.46,PA,1692049968
316,kloulklubed,7.0419,134.2556,26.28,79,100,4.55,PW,1692049968
317,east london,-33.0153,27.9116,15.99,70,99,7.07,ZA,1692049726
318,isafjordur,66.0755,-23.124,12.15,55,100,1.08,IS,1692049718
319,arteche,12.2645,125.4048,25.03,90,93,1.41,PH,1692049782
320,berbera,10.4396,45.0143,31.76,51,3,0.33,SO,1692049969
321,shunyi,40.125,116.6453,23.97,100,0,1.0,CN,1692049969
322,kavieng,-2.5744,150.7967,26.47,82,99,1.89,PG,1692049969
323,churachandpur,24.3333,93.6667,20.07,100,66,0.69,IN,1692049969
324,plymouth,41.8334,-70.8328,29.01,64,40,5.14,US,1692049970
325,darwin,-12.4611,130.8418,21.99,83,40,4.12,AU,1692049970
326,kiruna,67.8557,20.2251,10.51,93,61,1.03,SE,1692049970
327,christchurch,-43.5333,172.6333,9.71,68,28,1.54,NZ,1692049746
328,portland,45.5234,-122.6762,42.75,24,0,6.17,US,1692049964
329,pedregal,8.3667,-82.4333,30.05,72,40,3.09,PA,1692049971
330,essaouira,31.5125,-9.77,25.72,75,0,2.06,MA,1692049971
331,santa ana de yacuma,-13.75,-65.4333,26.97,47,75,2.06,BO,1692049971
332,hastings,50.8552,0.5729,18.32,42,79,4.8,GB,1692049971
333,kourou,5.1552,-52.6478,25.03,90,80,2.01,GF,1692049971
334,ndofane,13.9167,-15.9333,29.89,84,100,3.99,SN,1692049972
335,alofi,-19.0595,-169.9187,25.94,89,75,5.14,NU,1692049793
336,fort collins,40.5853,-105.0844,27.7,35,0,3.09,US,1692049934
337,qalat,32.1058,66.9083,21.87,15,6,2.87,AF,1692049972
338,san antonio de pale,-1.4014,5.6325,24.54,82,99,5.34,GQ,1692049754
339,souillac,-20.5167,57.5167,23.21,78,40,3.6,MU,1692049972
340,nova sintra,14.8667,-24.7167,24.69,83,100,5.52,CV,1692049761
341,broken hill,-31.95,141.4333,8.5,75,2,4.36,AU,1692049973
342,javanrud,34.7961,46.5172,22.92,34,0,2.66,IR,1692049973
343,rongelap,11.1635,166.8941,28.88,74,42,6.27,MH,1692049973
344,yankton,42.8711,-97.3973,25.06,57,75,8.23,US,1692049973
345,harper,4.375,-7.7169,24.19,78,100,3.9,LR,1692049782
346,bodaybo,57.8506,114.1933,17.08,90,57,0.81,RU,1692049974
347,patong,7.8961,98.2966,27.79,79,100,8.73,TH,1692049974
348,olmos,-5.9847,-79.7453,26.61,50,100,4.2,PE,1692049974
349,kazanskoye,55.6448,69.235,11.02,77,32,3.18,RU,1692049974
350,kutina,45.475,16.7819,19.36,63,0,1.42,HR,1692049975
351,vidyayevo,69.3191,32.8049,16.26,95,100,3.18,RU,1692049975
352,tocopilla,-22.092,-70.1979,20.32,66,21,2.58,CL,1692049975
353,chenzhou,25.8,113.0333,24.45,95,91,0.88,CN,1692049975
354,visby,57.6409,18.296,17.68,82,40,4.12,SE,1692049975
355,preobrazheniye,42.9019,133.9064,18.98,95,100,5.99,RU,1692049976
356,djambala,-2.5447,14.7533,24.97,55,75,1.22,CG,1692049976
357,grain valley,39.015,-94.1986,25.24,67,100,5.14,US,1692049682
358,aioun,16.6614,-9.6149,33.97,47,72,5.06,MR,1692049976
359,woodward,36.4337,-99.3904,29.42,38,40,4.63,US,1692049976
360,nema,57.5067,50.5011,16.42,87,81,2.4,RU,1692049977
361,banda aceh,5.5577,95.3222,25.03,88,100,4.47,ID,1692049977
362,nabire,-3.3667,135.4833,24.73,91,83,1.16,ID,1692049977
